stop_id,direction_id,direction_name
249,0,"Flatbush Av - Brooklyn College"
249,1,"Manhattan"
250,0,"Flatbush Av - Brooklyn College"
250,1,"Manhattan"
251,0,"Flatbush Av - Brooklyn College"
251,1,"Manhattan"
252,0,"Flatbush Av - Brooklyn College"
252,1,"Manhattan"
253,0,"Flatbush Av - Brooklyn College"
253,1,"Manhattan"
254,0,"Flatbush Av - Brooklyn College"
254,1,"Manhattan"
255,0,"Flatbush Av - Brooklyn College"
255,1,"Manhattan"
256,0,"Flatbush Av - Brooklyn College"
256,1,"Manhattan"
257,0,"Flatbush Av - Brooklyn College"
257,1,"Manhattan"
301,0,"Downtown and Brooklyn"
301,1,"Harlem - 148 St"
302,0,"Downtown and Brooklyn"
302,1,"Harlem - 148 St"
401,0,"Manhattan"
401,1,"Woodlawn"
402,0,"Manhattan"
402,1,"Woodlawn"
405,0,"Manhattan"
405,1,"Woodlawn"
406,0,"Manhattan"
406,1,"Woodlawn"
407,0,"Manhattan"
407,1,"Woodlawn"
408,0,"Manhattan"
408,1,"Woodlawn"
409,0,"Manhattan"
409,1,"Woodlawn"
410,0,"Manhattan"
410,1,"Woodlawn"
411,0,"Manhattan"
411,1,"Woodlawn"
412,0,"Manhattan"
412,1,"Woodlawn"
413,0,"Manhattan"
413,1,"Woodlawn"
414,0,"Manhattan"
414,1,"Woodlawn"
415,0,"Manhattan"
415,1,"Woodlawn"
416,0,"Manhattan"
416,1,"Woodlawn and Eastchester - Dyre Av"
418,0,"Downtown and Brooklyn"
418,1,"Uptown and The Bronx"
419,0,"Downtown and Brooklyn"
419,1,"Uptown and The Bronx"
420,0,"Brooklyn"
420,1,"Uptown and The Bronx"
423,0,"New Lots Av and Flatbush Av"
423,1,"Manhattan"
501,0,"Manhattan"
501,1,"Eastchester - Dyre Av"
502,0,"Manhattan"
502,1,"Eastchester - Dyre Av"
503,0,"Manhattan"
503,1,"Eastchester - Dyre Av"
504,0,"Manhattan"
504,1,"Eastchester - Dyre Av"
505,0,"Manhattan"
505,1,"Eastchester - Dyre Av"
601,0,"Manhattan"
601,1,"Pelham Bay Park"
602,0,"Manhattan"
602,1,"Pelham Bay Park"
603,0,"Manhattan"
603,1,"Pelham Bay Park"
604,0,"Manhattan"
604,1,"Pelham Bay Park"
606,0,"Manhattan"
606,1,"Pelham Bay Park"
607,0,"Manhattan"
607,1,"Pelham Bay Park"
608,0,"Manhattan"
608,1,"Pelham Bay Park"
609,0,"Manhattan"
609,1,"Pelham Bay Park"
610,0,"Manhattan"
610,1,"Pelham Bay Park"
611,0,"Manhattan"
611,1,"Pelham Bay Park"
612,0,"Manhattan"
612,1,"Pelham Bay Park"
613,0,"Manhattan"
613,1,"Pelham Bay Park"
614,0,"Manhattan"
614,1,"Pelham Bay Park"
615,0,"Manhattan"
615,1,"Pelham Bay Park"
616,0,"Manhattan"
616,1,"Pelham Bay Park"
617,0,"Manhattan"
617,1,"Pelham Bay Park"
618,0,"Manhattan"
618,1,"Pelham Bay Park"
619,0,"Manhattan"
619,1,"Pelham Bay Park"
621,0,"Downtown and Brooklyn"
621,1,"The Bronx"
622,0,"Downtown and Brooklyn"
622,1,"Uptown and The Bronx"
623,0,"Downtown and Brooklyn"
623,1,"Uptown and The Bronx"
624,0,"Downtown and Brooklyn"
624,1,"Uptown and The Bronx"
625,0,"Downtown and Brooklyn"
625,1,"Uptown and The Bronx"
626,0,"Downtown and Brooklyn"
626,1,"Uptown and The Bronx"
627,0,"Downtown and Brooklyn"
627,1,"Uptown and The Bronx"
628,0,"Downtown and Brooklyn"
628,1,"Uptown and The Bronx"
629,0,"Downtown and Brooklyn"
629,1,"Uptown and The Bronx"
630,0,"Downtown and Brooklyn"
630,1,"Uptown and The Bronx"
631,0,"Downtown and Brooklyn"
631,1,"Uptown and The Bronx"
632,0,"Downtown and Brooklyn"
632,1,"Uptown and The Bronx"
633,0,"Downtown and Brooklyn"
633,1,"Uptown and The Bronx"
